ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Source,Source_prose
alam1246-1,alam1246,yënr fëhm hɨti-bro-më-r-m,yënr	fëhm	hɨti-bro-më-r-m,child	pigs	see-big-R.PST-3SG.MASC-3P,`A child saw pig (as being) big.',,,bruce79alamblak[273],
abaz1241-1,abaz1241,j-jə-ma-pxaʃara-p',j-jə-ma-pxaʃara-p',3SG:N.HUM:S-3SG:MASC:DAT-ESTIM-shame-PRS,`He ashamed (of it).',,,tabulova76abazinskogo[184-185:227],
abaz1241-2,abaz1241,j-sə-ma-bzi-p',j-sə-ma-bzi-p',3SG:N.HUM:S-1SG:DAT-ESTIM-good-PRS,`It seemed good to me.',,,tabulova76abazinskogo[184-185:227],
abaz1241-3,abaz1241,j-lə-ma-t͡ʃ'vər-xa-t' ,j-lə-ma-t͡ʃ'vər-xa-t',3SG:N.HUM:S-3SG:FEM:DAT-ESTIM-long-INCH-PST,`It seemed long to her.',,,tabulova76abazinskogo[184-185:227],
abaz1241-4,abaz1241,l-qʰa lə-ma-pʂdza-p',l-qʰa	lə-ma-pʂdza-p',3SG:FEM.POSS-head	3SG:FEM:DAT-ESTIM-beautiful-PRS,`She consider herself beautiful.',,,tabulova76abazinskogo[184-185:227],
cavi1250-1,cavi1250,Mu-da =taa e-ra ba-ya jee=ke e-majaka,Mu-da	=taa	e-ra	ba-ya	jee=ke	e-majaka,scary-ASF	=EMPH	1SG-ERG	see-IMPFV	here=LIG	NPF-space,I’m scared of this place,,,guillaume08cavinena[377-379],
cavi1250-2,cavi1250,Masa-da =tu e-ra ba-ya sura kaka=kwana a-ya=ke,Masa-da	=tu	e-ra	ba-ya	sura	kaka=kwana	a-ya=ke,difficult-ASF	=3Sg(-FM)	1SG-ERG	see-IMPFV	jug	small.and.round=PL	affect-IMPFV=LIG,‘I find difficult to make (these) small jugs (lit. I see the small jugs that I make difficult).’,,,guillaume08cavinena[377-379],
adyg1241-1,adyg1241,məš' ser-č̣'e š'ə-ṣ̂ʷənč̣' ,məš'	ser-č̣'e	š'ə-ṣ̂ʷənč̣',here	1SG-INSTR	LOC-dark,`It feels dark to me here.',,,rogava66adygej[265],
nene1249-1,nene1249,wīŋ-ki° mәnc°ya-m sәwu-l-kәbta-ə-w°,wīŋ-ki°	mәnc°ya-m	sәwu-l-kәbta-ə-w°,тундра-ADJ	работа-ACC	хороший-INCH-DECL-GFS-1SG.O,‘Работа в тундре мне понравилась’,,,stenin15nenets[121],
finn1318-1,finn1318,pahe-ksu-n he-idän käytös-tä-än ,pahe-ksu-n	he-idän	käytös-tä-än,bad-ESTIM-1SG.PRS	them-PL.GEN	behavior-PART-3PL.POSS,‘I disapprove of their behavior’.,,,,"Juho Pystynen, p.c."
sand1273-1,sand1273,tsa'ámâsú-m̥̀sé-sì̥,tsa'ámâsú-m̥̀sé-sì̥,giraffe-ESTIM-1SG,`I thought it was a giraffe.' / `I said ‘giraffe’.',,,eaton10sandawe[129],
sand1273-2,sand1273,ʔàː |ʰǐːà ⁿ‖ǒːkó-~̃̏ː-sò hèsó ìòː-m̥̀sé-à ,ʔàː	|ʰǐːà	ⁿ‖ǒːkó-~̃̏ː-sò	hèsó	ìòː-m̥̀sé-à,3PL	Dikdik	children-SP-3A.PL	they	mother-ESTIM-CONN,"`Then Dik-dik’s children thought it was their mother, and...’",,,eaton10sandawe[129],
