alam1246,yënr fëhm hɨti-bro-më-r-m,child pigs see-big-\textsc{r.pst-3sg.masc-3p, `A child saw pig (as being) big.',\citet[273]{bruce79alamblak}
abaz1241,j-jə-ma-pxaʃara-p',\textsc{3sg:n.hum:S-3sg:masc:dat-estim}-shame-\textsc{prs},`He ashamed (of it).',\citet[184-185:227]{tabulova76abazinskogo}
abaz1241,j-sə-ma-bzi-p',\textsc{3sg:n.hum:S-1sg:dat-estim}-good-\textsc{prs},`It seemed good to me.',\citet[184-185:227]{tabulova76abazinskogo}
abaz1241,j-lə-ma-t͡ʃ'vər-xa-t' ,\textsc{3sg:n.hum:S-3sg:fem:dat-estim}-long-\textsc{inch}-\textsc{pst},`It seemed long to her.',\citet[184-185:227]{tabulova76abazinskogo}
abaz1241,l-qʰa lə-ma-pʂdza-p',\textsc{3sg:fem.poss}-head \textsc{3sg:fem:dat-estim}-beautiful-\textsc{prs} ,`She consider herself beautiful.',\citet[184-185:227]{tabulova76abazinskogo}
cavi1250,Mu-da =taa e-ra ba-ya jee=ke e-majaka,scary-\textsc{asf} =\textsc{emph} \textsc{1sg}-\textsc{erg} see-\textsc{impfv} here=\textsc{lig} \textsc{npf}-space,I’m scared of this place ,\citet[377-379]{guillaume08cavinena}
cavi1250,Masa-da =tu e-ra ba-ya sura kaka=kwana a-ya=ke,difficult-\textsc{asf} =\textsc{3s}g(-\textsc{fm}) \textsc{1sg}-\textsc{erg} see-\textsc{impfv} jug small.and.round=\textsc{pl} affect-\textsc{impfv}=\textsc{lig},‘I find difficult to make (these) small jugs (lit. I see the small jugs that I make difficult).’,\citet[377-379]{guillaume08cavinena}
adyg1241,məš' ser-č̣'e š'ə-ṣ̂ʷənč̣' ,here \textsc{1sg-instr} \textsc{loc}-dark,`It feels dark to me here.' ,\citealt[265]{rogava66adygej}
nene1249,wīŋ-ki° mәnc°ya-m sәwu-l-kәbta-ə-w°,тундра-\textsc{adj} работа-\textsc{acc} хороший-\textsc{inch-decl-gfs-1sg.O},‘Работа в тундре мне понравилась’,\citet[121]{stenin15nenets}
finn1318,pahe-ksu-n he-idän käytös-tä-än ,bad-\textsc{estim}-\textsc{1sg.prs} them-\textsc{pl.gen} behavior-\textsc{part}-\textsc{3pl.poss} ,‘I disapprove of their behavior’.,"Juho Pystynen, p.c."
